"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"AD20170152","Gestión de Procesos Empresariales ERP","SAP","Beatriz Helena Diaz","Administración de Empresas","Pregrado","21/04/2017","Friday","09:00- 11:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170153","Gestión de las operaciones y la producción II","SAP","Monica Silvana Maria Varon Parra","Administración de Empresas","Pregrado","22/04/2017","Saturday","14:00- 16:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170154","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","24/04/2017","Monday","09:00- 11:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170155","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","25/04/2017","Tuesday","14:00- 16:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170156","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría Pública","Pregrado","25/04/2017","Tuesday","07:00- 09:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170157","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría Pública","Pregrado","26/04/2017","Wednesday","07:00- 09:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170158","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","27/04/2017","Thursday","14:00- 16:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170159","Historia del Pensamiento Económico","Tableros Digitales","Bethooven Herrera","Economía","Pregrado","27/04/2017","Thursday","17:00- 18:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170160","Economía Industrial e Internacional","Herramientas Bibliográficas","Roberto Contreras Marin","Economía","Pregrado","27/04/2017","Thursday","14:00- 16:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170161","Diseño, Gestión y Evaluación de Proyectos","Microsoft Project","Liliana Patricia Chacon Gonzalez","Administración de Empresas","Pregrado","27/04/2017","Thursday","18:00- 20:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170162","Metodología de la Investigación II","NVIVO","Luz Angela Rodríguez","Economía","Pregrado","27/04/2017","Thursday","09:00- 11:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"AD20170163","Investigación de Mercados","NVIVO","Herbert Bermúdez","Administración de Empresas","Pregrado","28/04/2017","Friday","11:00- 13:00","N/A","2017-I","12","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","29/04/2017","Saturday","Ninguno","Ninguno","2017-I","12","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","01/05/2017","Monday","Ninguno","Ninguno","2017-I","13","Ninguno","","","","","","","","","","","","",""
"AD20170164","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","02/05/2017","Tuesday","14:00- 16:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
"AD20170165","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría Pública","Pregrado","02/05/2017","Tuesday","07:00- 09:00","N/A","2017-I","13","","DICTADA","","","","","","","","","","","",""
